pos	ac	het	n	block
119	1	1	200	SC_b1
143	78	54	200	SC_b1
173	120	54	200	SC_b1
175	123	53	200	SC_b1
187	121	55	200	SC_b1
301	200	0	200	SC_b1
494	12	12	200	SC_b1
504	23	23	200	SC_b1
542	175	25	200	SC_b1
544	175	25	200	SC_b1
594	110	56	200	SC_b1
634	113	55	200	SC_b1
652	11	11	200	SC_b1
719	200	0	200	SC_b1
728	3	3	200	SC_b1
988	196	4	200	SC_b1
990	195	5	200	SC_b1
999	6	4	200	SC_b1
1006	1	1	200	SC_b1
1048	1	1	200	SC_b1
1086	77	53	200	SC_b1
1404	1	1	200	SC_b1
1435	173	25	200	SC_b1
1495	173	25	200	SC_b1
1513	173	25	200	SC_b1
1730	6	6	200	SC_b1
1806	1	1	200	SC_b1
1864	6	6	200	SC_b1
1928	7	7	200	SC_b1
1932	193	7	200	SC_b1
1943	193	7	200	SC_b1
2632	1	1	200	SC_b1
2665	200	0	200	SC_b1
2696	200	0	200	SC_b1
2698	82	52	200	SC_b1
2703	2	2	200	SC_b1
2725	200	0	200	SC_b1
2730	200	0	200	SC_b1
2763	200	0	200	SC_b1
2808	200	0	200	SC_b1
3190	194	6	200	SC_b1
3196	194	6	200	SC_b1
3199	6	6	200	SC_b1
3214	194	6	200	SC_b1
3220	194	6	200	SC_b1
3223	3	3	200	SC_b1
3232	115	57	200	SC_b1
3310	200	0	200	SC_b1
3345	200	0	200	SC_b1
3390	200	0	200	SC_b1
3443	2	2	200	SC_b1
3472	198	2	200	SC_b1
3487	198	2	200	SC_b1
3501	198	2	200	SC_b1
3521	5	5	200	SC_b1
3558	1	1	200	SC_b1
3852	80	54	200	SC_b1
4058	51	39	200	SC_b1
4078	12	12	200	SC_b1
4223	4	4	200	SC_b1
4338	81	53	200	SC_b1
4520	194	6	200	SC_b1
4605	200	0	200	SC_b1
4751	1	1	200	SC_b1
4769	200	0	200	SC_b1
4791	24	24	200	SC_b1
4794	53	39	200	SC_b1
4951	7	7	200	SC_b1
5024	21	21	200	SC_b1
5214	1	1	200	SC_b1
5298	199	1	200	SC_b1
5304	199	1	200	SC_b1
5315	199	1	200	SC_b1
5427	194	6	200	SC_b1
5440	1	1	200	SC_b1
5531	2	2	200	SC_b1
5580	1	1	200	SC_b1
5798	24	22	200	SC_b1
6049	6	6	200	SC_b1
6258	200	0	200	SC_b1
6684	1	1	200	SC_b1
6829	6	6	200	SC_b1
