pos	ac	het	n
119	1	1	200
143	78	54	200
173	120	54	200
175	123	53	200
187	121	55	200
301	200	0	200
494	12	12	200
504	23	23	200
542	175	25	200
544	175	25	200
594	110	56	200
634	113	55	200
652	11	11	200
719	200	0	200
728	3	3	200
988	196	4	200
990	195	5	200
999	6	4	200
1006	1	1	200
1048	1	1	200
1086	77	53	200
1404	1	1	200
1435	173	25	200
1495	173	25	200
1513	173	25	200
1730	6	6	200
1806	1	1	200
1864	6	6	200
1928	7	7	200
1932	193	7	200
1943	193	7	200
2632	1	1	200
2665	200	0	200
2696	200	0	200
2698	82	52	200
2703	2	2	200
2725	200	0	200
2730	200	0	200
2763	200	0	200
2808	200	0	200
3190	194	6	200
3196	194	6	200
3199	6	6	200
3214	194	6	200
3220	194	6	200
3223	3	3	200
3232	115	57	200
3310	200	0	200
3345	200	0	200
3390	200	0	200
3443	2	2	200
3472	198	2	200
3487	198	2	200
3501	198	2	200
3521	5	5	200
3558	1	1	200
3852	80	54	200
4058	51	39	200
4078	12	12	200
4223	4	4	200
4338	81	53	200
4520	194	6	200
4605	200	0	200
4751	1	1	200
4769	200	0	200
4791	24	24	200
4794	53	39	200
4951	7	7	200
5024	21	21	200
5214	1	1	200
5298	199	1	200
5304	199	1	200
5315	199	1	200
5427	194	6	200
5440	1	1	200
5531	2	2	200
5580	1	1	200
5798	24	22	200
6049	6	6	200
6258	200	0	200
6684	1	1	200
6829	6	6	200
6991	28	24	200
7004	6	6	200
411	66	66	156
500	1	1	200
515	3	3	194
276	3	3	200
404	200	0	200
497	14	14	200
529	2	2	200
775	139	41	200
847	4	4	200
1009	59	41	200
1148	42	26	200
1160	160	26	200
1205	4	4	200
1279	1	1	200
1424	70	44	200
1455	38	26	200
1533	4	4	200
1839	89	47	200
1883	190	10	200
1938	2	2	200
1959	199	1	200
1984	1	1	200
1997	69	43	200
2035	1	1	200
2048	139	41	200
2060	199	1	200
2168	197	1	200
2180	2	2	200
2229	41	33	200
2232	61	39	200
2339	4	4	200
2377	1	1	200
2428	4	4	200
2440	200	0	200
2582	2	2	200
2719	101	49	200
2732	99	49	200
2740	99	49	200
2786	143	39	200
2810	60	42	200
2826	60	42	200
2847	60	42	200
2865	141	41	200
2918	41	33	200
2968	61	41	200
3003	61	41	200
3097	59	41	200
3134	200	0	200
3204	4	4	200
3208	10	10	200
3242	3	3	200
3310	60	42	200
3375	142	40	200
3534	14	14	200
3534	40	26	200
3547	200	0	200
3628	3	3	200
3645	19	17	200
3648	60	42	200
3710	14	14	200
3792	12	10	200
3893	60	42	200
3933	62	42	200
4056	139	41	200
4097	3	3	200
4143	8	8	200
4146	59	41	200
4381	41	33	200
4410	15	15	200
4487	18	16	200
4569	59	41	200
4594	1	1	200
4776	7	7	200
4785	4	4	200
4787	196	4	200
4880	12	12	200
4973	142	40	200
5094	14	14	200
5209	41	33	200
5283	2	2	200
5317	41	27	200
5535	70	42	200
5702	2	2	200
5745	200	0	200
5847	189	9	200
5970	19	17	200
5986	142	40	200
6124	15	15	200
6219	41	33	200
6266	4	4	200
6389	41	33	200
6454	3	3	200
6487	1	1	200
6516	140	40	200
6659	140	40	200
6668	2	2	200
